genes,rank
UBE2D2,8.187295425124953
ADAR,8.167085793643338
RPL27A,8.165618645970705
ZNF292,8.137276754747782
ECH1,8.135706205393186
OPTN,8.119281587753875
SAP18,8.099929689759557
EVI2B,8.089319618263463
TNFSF12,8.016217274995027
SPCS1,7.944596936960248
SLAMF1,7.926634881506986
SF3B2,7.870365109486586
GTF3A,7.86078043100223
FERMT3,7.816542346458589
PBX4,7.810058233890129
PLEKHF1,7.8051534642597
KRTCAP2,7.776550842315847
ITSN2,7.760652424863475
RPL3,7.733389655016376
CCND2,7.707913873304639
NAP1L4,7.703538519311581
CREBZF,7.686856559582926
HIST1H1D,7.660764471295632
SMAP2,7.659843583512427
RAB27A,7.656444840134557
KMT2A,7.655471285267022
IK,7.653557111151192
BAX,7.639239475919551
IQGAP2,7.596979638121212
CBX3,7.5917109308084445
GATA3,7.582261823913152
OFD1,7.5754596637842155
AIP,7.569405831705157
TAF7,7.5653185701241386
PHYKPL,7.520706861642221
PSMB3,7.517225265311825
CD28,7.5083655981363195
NDUFB4,7.437237371536025
DDX18,7.383913468813016
FGFR1OP2,7.362808553280194
RNF149,7.353766445659916
PRKCQ,7.350178392868456
LRBA,7.308011426216272
ANKRD13D,7.262031771200839
MATK,7.218577646677263
EIF3F,7.173999354645928
COPS9,7.173327613298592
ITGAE,7.164410443966058
CLIP4,7.161205481996955
AC025164.1,7.152706244461925
ZNF107,7.100404596694059
STIM2,7.042198947623427
SMDT1,7.037174384056336
C4orf3,7.034779086128418
THEM4,7.027157836317075
SAMD9,7.003640961750055
SLAMF7,6.995321057008575
SH3BP1,6.983288555581106
BOD1L1,6.967259409817318
RPL7,6.9596013515590895
KDM5A,6.949638624889586
C9orf16,6.936541512097894
XRCC5,6.9223417577785185
REEP5,6.876640409794324
TNFRSF1B,6.868142655068712
LRRFIP1,6.868063901604022
SSBP4,6.862552600868645
TBC1D2B,6.849506799311359
CD58,6.845747212053174
RACK1,6.787122101175798
RBPJ,6.785885087009618
LINC01578,6.782766670733923
PRPF8,6.753214618380325
CYLD,6.748444079176055
CCNI,6.70569986385962
URI1,6.7050373821865765
RBM3,6.689484370872327
SF3B5,6.684592791797772
CAPZB,6.669647970115475
TOMM20,6.649027745307896
SNHG8,6.646756303422113
RNF166,6.637856519441388
SRGN,6.61610571664946
TNFSF8,6.60810697468984
COPB1,6.595841671438051
EIF3H,6.553328062296455
SSR4,6.515356480691801
OST4,6.509042020133438
PTGER2,6.5087618900722335
KMT2E,6.497928333716741
COX14,6.483945958543738
PHC3,6.466129792314147
PPP3CC,6.426238852472964
PNN,6.424624069800926
ARGLU1,6.4096014733439235
TMC6,6.40266958916334
RNF19A,6.383281347091015
LINC00623,6.367328445870231
CUTA,6.366230257278383
OTUB1,6.355356986176421
CCDC18-AS1,6.345127587111289
ATP5MPL,6.297834261196292
PAK2,6.2969401520372426
CENPC,6.262875976900904
KLRD1,6.238149726311499
SLC4A7,6.23629586449503
FOXO1,6.223702650769126
RPS20,6.222495331710411
UBALD2,6.217588028205692
OGT,6.199808560532627
CHMP4A,6.192342517470595
KRAS,6.173264747610702
RBBP6,6.157155757149151
RPL36A,6.151356706936268
OAZ1,6.1325648077498105
SAMD9L,6.103361632652279
PPP1R12A,6.0981142760633675
PIK3R5,6.092597598371945
ADSS,6.070080438816021
MRPL10,6.0508152553751655
UQCR10,6.047719307969119
SENP7,6.041685993486072
EIF3M,6.033354285746936
PIM2,6.02208149668076
NDUFB11,5.995714042106659
ZNF207,5.991216502277912
JPX,5.98699067837585
RBM8A,5.981539622343628
LYAR,5.9716643577660395
TTC14,5.960484504510486
CCDC107,5.922399667772776
SPSB3,5.905551342354444
MITD1,5.897566035886296
AP2B1,5.88437547468944
ANXA2R,5.8737631383438
CYTH1,5.872048511699191
RPL23,5.864298122685071
PSMA7,5.860110472034223
MAT2B,5.8476867289993395
CAPZA1,5.840791120127501
ASXL2,5.816384909677308
ATP5MD,5.811326347693239
TSEN54,5.800000147460521
XCL2,5.788761844250071
RPL4,5.767801559240338
WDR83OS,5.763939679337308
TGOLN2,5.760794307194884
UXT,5.7343221081232745
LUC7L3,5.725876407640747
HNRNPA1,5.718727856306434
TMEM258,5.711505008612246
OASL,5.7114528058642655
OCIAD2,5.7073562134069755
TRADD,5.697526287933159
TENT5C,5.683046207876114
MRPS21,5.660112890182344
IPCEF1,5.659520591422067
NLRP1,5.659353348165422
ACTR3,5.643438118456201
SLF1,5.6386936771967004
UBXN4,5.62247730607813
GBP1,5.620903412082256
TRIM56,5.618964475378871
TUT4,5.614930321294376
SDHA,5.588370653728305
GPR171,5.585065423360534
DENND1C,5.555023288537618
TRAPPC5,5.529804453376254
TOMM6,5.5193420589328435
VPS28,5.503029327331617
MZT2A,5.496830298481014
STAT1,5.48451792190463
PDCD1,5.481787589942762
NIPBL,5.465556886305313
NME3,5.437887012828419
IFI27L2,5.434466435000101
POLR3GL,5.431178029214058
CCDC12,5.419063567926565
PPIG,5.411138030529041
UQCRH,5.4075047876036875
CSNK2B,5.405273749891305
RAPGEF6,5.376671037430732
SEM1,5.373145905446775
GRK2,5.371169264805855
ZNF706,5.360612430813361
GPBP1,5.34643099162105
MAF,5.330529398585822
GABARAPL2,5.315343348855767
PREX1,5.306958264879562
CD40LG,5.305183823466117
STT3B,5.288701422583525
NFKBIA,5.276483063260204
MIEN1,5.276359458338797
PARP1,5.25285915951551
UNC13D,5.251772393379337
NT5C,5.235844838510771
CDC42EP3,5.226938554556394
UBE2B,5.218642933396467
KCNA3,5.217090716360314
COX4I1,5.2161099859668845
RNF181,5.202120842497832
SNU13,5.18910056785414
TMEM59,5.188226423087986
SUZ12,5.15788284202141
TASOR,5.140308911088755
PTBP3,5.1389237500319345
DENND1B,5.110015550521744
ATF7IP,5.085860625152484
VPS13C,5.079418522160064
MRPL54,5.07657663887442
PRKCQ-AS1,5.059821195506336
INPP4A,5.058410652709128
SLTM,5.052863142812531
ZBTB25,5.045058104041538
FKBP11,5.040846282865945
PITPNC1,5.023892454229452
RAD50,5.017718913757842
SHISA5,5.01574991203601
NSA2,4.995587001586608
SLC2A3,4.986347399762891
SYF2,4.982403909473214
DCTN3,4.980126512984722
RAD21,4.9636853028838095
PSMA1,4.947364335412584
TMEM14B,4.939801725992202
NOP58,4.930638215358983
DHX36,4.923523836712446
FAM177A1,4.9188038162062195
AKAP9,4.884066390323036
ZFYVE28,4.858146023437782
CAPN2,4.844304491718701
ARHGEF6,4.839454363929096
UBR2,4.836102617497965
NABP1,4.815443738734606
KLF13,4.811061073410692
NCF1,4.767643532211301
GIMAP6,4.764205237805514
JADE2,4.76394137409294
PPP6R1,4.7435703162069585
IL27RA,4.7350539313209605
TCEA1,4.718833765991467
CARD8,4.6972380315290225
IRF3,4.6896549714379026
AKIRIN2,4.675710471246767
C19orf53,4.673166866666249
PSMB6,4.666577115685179
ENO1,4.666027224162505
SECISBP2,4.660487639368141
ZMYM2,4.64193175647602
SUPT3H,4.63417328875614
ZC3H13,4.604300471672062
ARHGAP25,4.595951663080078
CHURC1,4.590502312833059
RORA,4.583935820983233
MIER1,4.579348874562476
XRN1,4.573744789496534
PKM,4.573683052077556
GNB2,4.5421812636749195
C4orf48,4.511180099551322
ANXA6,4.489307975843408
HMOX2,4.475919066888759
TNFSF10,4.47507765990386
RAP1A,4.467803053749882
FBXW5,4.464823812394502
MTURN,4.4590618275031195
TBX21,4.454902679700275
PTK2B,4.445195023881581
PPHLN1,4.44478905067218
ARPC4,4.420155415786036
DDB2,4.419784655189
SRRM1,4.418530690573703
DYNLRB1,4.4154331576923065
POLR2J,4.382995413977422
RNPEPL1,4.38029030750649
NDFIP1,4.3667550947833025
ATXN7,4.352702820252163
AC008105.3,4.346915734223168
RIPOR2,4.339181580605521
MALT1,4.330276385467849
PDE3B,4.301952525437384
PHF3,4.298640526731594
GPI,4.2966772741192525
HERPUD2,4.296646841031793
GMIP,4.284809678069662
PTPN6,4.270556044020168
BIRC6,4.252304466006102
SVIP,4.246013291605058
ARID5A,4.238880078163139
TES,4.237379025581381
SHFL,4.236922241449251
ZC3HAV1,4.221514909854442
PRPF40A,4.2078829513574245
SEL1L3,4.207613085115023
SRPRA,4.203852591672716
CRYBG1,4.195520043032259
PRKX,4.1920555635028425
CCAR1,4.190802144030066
NUP210,4.186591175654854
TRABD,4.181312440260732
MRPL33,4.177161776639539
MLLT6,4.168794343441878
DUSP16,4.151733750372532
TANK,4.150352024602827
ANP32E,4.121286682211259
TAF15,4.118341074088762
OGFR,4.089526850867564
PRDX2,4.072464268538347
CCDC115,4.061926496382616
MDH2,4.057249097447279
SSU72,4.0437734923197315
TRA2A,4.040599686374988
RASA3,4.036091340555633
NEDD8,4.034260629277549
MTERF4,4.028094283531599
TBCA,4.026299344191963
ERCC5,4.0090010076256295
ZBTB38,4.005610427577441
CDKN2A,3.9820245375762817
ORMDL3,3.980170557790284
ATRAID,3.979404506272625
LSM7,3.969536033939515
SNRPG,3.968204852170944
SSBP1,3.9624940580449373
PNRC2,3.9615704979643986
NDUFB2,3.9372230672075155
RABAC1,3.935239271364981
PRPF4B,3.925700213641354
DCP2,3.9147152475708427
PLCG1,3.914656109838972
METRNL,3.9127059414088325
TEX264,3.900558817990828
ASH1L,3.8939467675026154
HNRNPA0,3.8915318053164922
CIAO2B,3.886209051755532
IFNAR2,3.8861410858105527
CGGBP1,3.878104313615743
RBIS,3.8714670584395936
PPP1R16B,3.863146319033466
POLR2G,3.8532758640191718
MYO1F,3.85212624032644
ZNF33A,3.8244511712416966
POLR2B,3.8173892831327643
NCOA2,3.812949363911906
EIF4B,3.812456539585792
DOCK2,3.8097744213591085
TMEM173,3.8050047062508994
TTC17,3.791207804386707
SNRPA1,3.790162661609033
EAPP,3.789615588000806
CBFB,3.7889390705935924
IDH2,3.78760645403256
ANKRD36,3.7309937532701616
REST,3.7213308523013313
ZRSR2,3.7178260563677736
ROCK1,3.7084420095901405
CACYBP,3.706938542513793
SARS,3.699938129360386
ORAI1,3.699605015783141
RBCK1,3.687484583376669
FRG1,3.684942818989028
WDR33,3.6795505107152353
RNF145,3.6757641688017237
LMBRD1,3.674751275580243
NDUFA12,3.6717027584565414
ZNF394,3.6527359467467213
RTF1,3.650758944763814
TBRG1,3.6493025654416544
SPATA13,3.6384857147908805
TRAPPC10,3.636658206838909
NDUFB10,3.6350580765804645
DCXR,3.634661629076978
TLK1,3.631502334993115
PA2G4,3.6238502216431683
XBP1,3.62359362580942
LFNG,3.6100223492828465
SIAH2,3.585955748640295
ENO3,3.580218011596007
HMGB2,3.577687534312638
TAF1D,3.577172038117465
MRPS24,3.5745791375803844
HNRNPLL,3.571655102203243
TTC13,3.570020506523211
SELL,3.556051159816094
BLOC1S1,3.5558517704483106
ATP5PO,3.5475493082105998
SNHG9,3.5470650819589156
RSL24D1,3.5429248430379365
PSMB1,3.5427338178678918
THAP12,3.537103893768615
SF3A2,3.528025347939228
RAP1GDS1,3.524026848810216
IDS,3.521101624450211
CYBC1,3.506598238959246
PHF1,3.500006075618409
DNAJC19,3.4815723824420752
EMD,3.467430098216533
GGNBP2,3.4523095248433915
FKBP8,3.448992498046109
SIGIRR,3.443908625671466
ANXA11,3.4404688212696377
IMP3,3.421910287419238
TRPC4AP,3.407153785782175
U2SURP,3.4032159820063104
WASHC1,3.394677078965631
RNF44,3.357603060157475
LPIN2,3.3529652815885984
DGUOK,3.3517427337416525
DNAJC1,3.348699399619662
USP36,3.3459177850540303
IRF2,3.3340396802467005
PJA2,3.3333937870248014
RAB11FIP1,3.332451088448654
MAPRE2,3.331183005744498
CAB39,3.3297735717864136
ZNF267,3.3239850342160904
RAB1B,3.305268298105166
TRANK1,3.3038225242776367
SNRNP200,3.2961830717372926
SNRPB,3.291826086549394
KDM4C,3.2821135349654407
GPR65,3.272030321002504
ACAP2,3.2614771917529572
DCAF16,3.2599324736119804
G3BP2,3.2499830162403778
MMP25-AS1,3.246912677938064
PSMD8,3.243774378531163
GSDMD,3.2265143265402103
GABARAPL1,3.225157050623904
RC3H1,3.2164099134236483
PDE4DIP,3.212503409071477
ERP29,3.181008429988212
NDUFV1,3.179616604968059
TTC1,3.1629746404350745
POM121C,3.158910340500414
