genes,logfoldchanges,pvals,pvals_adj
HMOX1,1.8691607,5.3004648681605425e-11,3.2259139392799536e-09
ELL2,1.3899872,6.144942537100029e-11,3.729898187452556e-09
MFSD1,2.2120593,9.232621565128285e-11,5.472732605871095e-09
SERPINA1,1.9228963,1.1701221630552857e-10,6.828701402791552e-09
NAMPT,1.2359093,2.6669182439137214e-10,1.506312483076033e-08
CD302,3.0859432,3.5556266376814546e-10,1.97880619870184e-08
LPAR6,2.6397545,3.8738691553530745e-10,2.1454260271081918e-08
MNDA,2.375517,5.042187632345105e-10,2.7722288620154415e-08
CLEC7A,2.637936,7.468497948643527e-10,4.009385620448678e-08
EPB41L2,2.3276935,7.892880832786144e-10,4.2272412591971344e-08
GNG5,1.0154736,8.294138854176712e-10,4.421339311446611e-08
CXCL2,3.802437,8.661508045674768e-10,4.595646763068743e-08
HTRA1,2.5534775,1.0727820757338851e-09,5.6524688907071044e-08
IFIT3,5.7342534,1.1245894552725884e-09,5.898134834312133e-08
SLC11A1,2.2002795,1.2651965489220355e-09,6.574978047160587e-08
QKI,1.5053488,1.3589038219560274e-09,7.04586988504854e-08
IFIT2,4.876699,1.3800478134774042e-09,7.13923825690288e-08
HLA-DMA,1.3541723,1.4678768636317592e-09,7.576374868477574e-08
P2RY13,5.331924,1.8623619098425083e-09,9.526085795918017e-08
H1F0,3.3869288,1.9765310331369396e-09,1.0064832075226626e-07
PLSCR1,2.1960833,2.2378873334388528e-09,1.1269644133569727e-07
CEBPB,1.2799238,2.4576409043177766e-09,1.2348967387214401e-07
SLCO2B1,2.8879786,2.4817352627868006e-09,1.2415221549791903e-07
IGSF6,2.2476346,2.6372437955408685e-09,1.3164241946074836e-07
MT1X,1.8819466,2.6829521013615715e-09,1.33630975341777e-07
AC253572.2,2.896467,3.603236594087945e-09,1.775256955727918e-07
LST1,1.9312193,4.599462207676091e-09,2.2370290335710083e-07
SOD2,1.4956901,5.842097671388324e-09,2.80543939232365e-07
ZFAND5,1.1251428,6.6394500098329105e-09,3.168284300289658e-07
TIMP1,1.1452526,6.906151063822482e-09,3.281791451246917e-07
LY86,3.2294307,8.173643491481265e-09,3.8760098573561786e-07
FCGRT,2.1089137,1.1263053323563969e-08,5.264263239239488e-07
OTUD1,2.7111795,1.2154853182130493e-08,5.657848019052234e-07
CCL2,2.3010957,1.3380205766979828e-08,6.190248855040546e-07
LAP3,1.8971851,1.4585028747796463e-08,6.679767089684972e-07
IER5,1.6107758,1.618797603441807e-08,7.3841825750586e-07
DOCK4,2.4259148,2.0475555868931844e-08,9.13852162134562e-07
ZEB2,1.2771084,2.7974134285078993e-08,1.2292417849362318e-06
GSN,1.7063284,4.380268702076866e-08,1.8955071520280158e-06
HSPA6,4.7644386,4.4386019781670466e-08,1.9134745876333013e-06
HIF1A,1.0822523,4.789551791162346e-08,2.0569769409516476e-06
BRI3,1.3897648,5.3810356113583146e-08,2.2851330706294393e-06
HLA-DMB,1.9268603,5.405144246440949e-08,2.2910967101953238e-06
PLP1,28.563843,6.009880108946447e-08,2.537975715024843e-06
IFNGR1,1.3183768,6.213171710344281e-08,2.609302850015803e-06
SLC8A1,2.8647544,8.478126150779847e-08,3.5215165591980085e-06
SCIN,3.0072849,9.222417340311257e-08,3.809812404721685e-06
PLD4,2.6064112,1.0771565329025324e-07,4.425674549084375e-06
HIST1H1C,1.0879692,1.3133358548854132e-07,5.3573746825988845e-06
LILRB4,2.5829527,1.39172714104042e-07,5.656873782921793e-06
RNASE1,1.9090806,1.4637835166827865e-07,5.939151587653046e-06
OLFML3,2.7154448,1.5964219459660102e-07,6.420098292239986e-06
TIMP2,1.8296169,2.051748161633091e-07,8.150417391813684e-06
CREG1,2.1569133,2.795914121090146e-07,1.1010483948832854e-05
LGMN,2.258998,2.966622970249689e-07,1.1605338815509121e-05
PARP14,1.3551806,3.039802449437986e-07,1.1847942355155382e-05
DAB2,3.2144508,3.403020146699125e-07,1.3173391935232223e-05
FMNL2,2.7667773,3.511661558585317e-07,1.3524947613624194e-05
RNF144B,3.58714,3.613812765683503e-07,1.3848081847220186e-05
PTGDS,5.217028,5.984727709215812e-07,2.2150304409295988e-05
FPR1,2.5518577,6.585742781013234e-07,2.4139239481710664e-05
BMP2K,1.8376062,6.931883145914639e-07,2.5205035809474286e-05
SELENOP,4.4796796,7.951687736109867e-07,2.854831486582536e-05
CYFIP1,1.9818908,8.37269475415611e-07,2.9871360187163226e-05
PTGS2,4.6252437,9.117413097570503e-07,3.2275358775567617e-05
GPNMB,1.9658996,9.847966604022426e-07,3.480736270819231e-05
DNAJB4,3.6646833,1.1220779226336899e-06,3.9233083986156756e-05
IFIT1,5.05102,1.1849082242587093e-06,4.130303369154172e-05
C3AR1,2.4193208,1.7766204508029804e-06,5.964518392504047e-05
SERPINE1,2.968583,3.608837211316093e-06,0.00011734907514853844
HBEGF,2.3700552,3.6482691187189407e-06,0.0001184620566052504
HIST1H2AC,2.5736377,3.8015674324931754e-06,0.00012308858876018442
ETS2,1.562883,4.21040389320481e-06,0.00013441404406329296
OGFRL1,1.3879685,4.248462572149886e-06,0.0001354390827272769
S100A8,1.5801997,4.329461629618022e-06,0.0001375920921682865
RNF130,1.6417615,4.571171739972708e-06,0.0001439128784858351
DST,2.8330305,5.490012316622597e-06,0.00016955720536087322
CXCL16,1.5721757,5.503464920056031e-06,0.0001697423692551699
CD59,2.0258806,5.5997653718349915e-06,0.0001724788354448012
STAB1,2.4682717,6.2509410429703975e-06,0.00019047378851417963
ACSL1,1.8455726,6.636716641584363e-06,0.00020141992559432435
RASSF4,2.4304059,7.051413668284816e-06,0.00021315309152390304
RNASE6,2.295997,7.423693092547545e-06,0.00022351600816477142
PPT1,1.1479928,9.022640250285539e-06,0.00026846187892418224
FOLR2,3.382294,9.07978466601004e-06,0.000269809475936972
CCN2,4.814158,9.559929281301726e-06,0.0002815046705058084
LYN,1.9630231,1.03024366195515e-05,0.00030064623376183493
NAIP,2.3018637,1.091926563739433e-05,0.0003166169738068405
BCL2A1,1.6575804,1.126136865137519e-05,0.0003257068275001297
LHFPL2,2.823992,1.2634254075724406e-05,0.00036219255827662334
ADAP2,2.3996918,1.2786855482820513e-05,0.0003661061691823403
IGKV4-1,28.218298,1.5033454350340603e-05,0.0004259736248176332
CTSH,1.4337494,2.3231549410457547e-05,0.0006425231199038089
MARCH1,2.9917006,2.4446900014852297e-05,0.0006712428686828323
SERPINF1,3.5557046,2.8666724153801583e-05,0.0007786539083398946
IL13RA1,2.4087713,3.013206604455555e-05,0.0008145677996510373
MT1G,4.29928,3.0903864368293404e-05,0.0008331505143831575
TNFSF13B,2.3052073,3.398785159876165e-05,0.0009069536671641415
TCF4,3.3849723,3.405046616849407e-05,0.000907560551437075
TLR2,2.5538142,3.445661804905337e-05,0.0009145342001441166
MS4A4A,2.4953113,3.622358060863202e-05,0.0009532036321545457
GNG11,5.702939,3.6468052854289126e-05,0.0009585286594334054
FN1,1.1182673,3.870058338000237e-05,0.0010125318148225448
DSE,2.1498122,4.137967793370636e-05,0.0010703229876443457
CAVIN2,4.553451,4.363107895066144e-05,0.0011247232379104821
PLEK,1.240055,4.562922233450905e-05,0.0011722487119391592
SPTLC2,1.7842695,4.756072257218818e-05,0.0012177470946998282
PECAM1,2.3681922,4.8428692429019834e-05,0.001237187314331481
CALHM6,2.543918,5.3466630216652586e-05,0.0013613058579322664
LGALS3BP,2.7620027,5.7263921450453216e-05,0.0014482682000613511
P2RY12,2.4543426,6.986102756832925e-05,0.0017360007745745745
LGALS9,1.2537739,7.335407924622597e-05,0.0018109387763585636
BASP1,2.063193,7.514718992187219e-05,0.0018491895535153024
GNB4,2.298954,8.955105279255375e-05,0.0021847385462637815
JDP2,2.0569198,0.00010680290436600234,0.0025589975886094163
LMO2,3.5126474,0.00011592749234307507,0.0027486891465761196
IFNGR2,1.9002663,0.00012051875921946343,0.002842744038708214
RB1,1.2434996,0.0001437774658569571,0.00335657710547288
SHTN1,2.2602806,0.00016463835159696532,0.0037625483524599645
SPARCL1,4.1152406,0.0001860914346845909,0.004218937486345277
TGFBI,1.2989644,0.00021601912534445863,0.004820615030480949
MT1E,2.2965574,0.00022750462000865868,0.005037412607623627
FCGR1B,3.4237564,0.0002342980112723421,0.005172736501048546
MERTK,2.9277892,0.00023850870601247582,0.0052453479867207485
TGFBR1,1.8706473,0.00023894681222379755,0.005249910559689266
RASGEF1B,1.8762391,0.0002519391485815034,0.005514075865396327
ATP6V1B2,1.6040812,0.0002810568233324227,0.006088085306818557
CPVL,1.6441275,0.00030681235030560977,0.006582151477527134
IL18,2.139608,0.00030903693243498404,0.006617402310522207
ITGAV,1.5914695,0.00030976316727742884,0.006620496914149141
PLAUR,1.225406,0.000319120695438445,0.0067886217472615746
ID3,3.0027564,0.0003293340862236216,0.00696682385745546
ARHGAP24,3.5223353,0.000336090696120426,0.0070768699584580355
APP,2.144328,0.0003638498986588498,0.007605097698138419
LAMP2,1.7242675,0.0003926231123913429,0.008161540898860044
APLP2,1.0369676,0.0004004436007103693,0.008293810044922136
SIGLEC10,3.5269485,0.0004116078266221885,0.00849412271040277
PLTP,1.9184718,0.00045026879875875747,0.009250016604103644
TSC22D1,3.3484116,0.0004530535099054837,0.009290091046381222
MDM2,1.5744351,0.0005160979400094017,0.010423621393517303
EPB41L3,2.2775586,0.0005750670243826799,0.011532753840527364
AC245014.3,2.2814357,0.0006270637229581797,0.012454820647446846
TNFSF13,2.2827687,0.0006642371189814813,0.013090359569053226
CCN1,5.0366297,0.000689399322372985,0.013527678772287832
CRYAB,6.4621468,0.0007018900644017374,0.013749071984434032
DEPP1,5.834829,0.0007228064043660737,0.01411022244955452
C1orf54,2.554937,0.0007278770239718197,0.0141970324075806
IRF8,1.6119213,0.0007984940463498912,0.015389772635915516
SWAP70,1.9711671,0.0008838566137148014,0.016863658207356504
ADAM28,2.8598557,0.0008910148274849533,0.01698599623384632
TBXAS1,1.3932158,0.0009194175983756576,0.01748352829927044
ARRDC3,1.7967975,0.0010573015709519035,0.019807652969553273
ENG,1.8902184,0.0012704899350066822,0.02322802562298964
TM4SF1,27.826359,0.0015149263296908686,0.027151774107420118
YBX3,1.1488323,0.0015365799098266846,0.027496565964996066
TMEM176A,3.1138856,0.0016071301638793326,0.028579294367360446
EIF4A3,1.0762883,0.0016933368066222232,0.029971798127787747
FRMD4A,2.034379,0.001820777548583324,0.03175826709643956
SLC9A3R2,3.8040762,0.0019619345906271967,0.03401184703111672
NUPR1,4.068011,0.002209640155190084,0.037497271542044894
AKR1B1,1.4412239,0.002253959994007966,0.03811637249896681
SAP30,1.209832,0.002270567258825769,0.038340246250290914
EGR2,2.7978196,0.0023026816398056013,0.03879618022594752
PEA15,1.3727388,0.002519039838135428,0.04193998091987556
TMIGD3,2.7588446,0.002520599854950785,0.04193998091987556
TMEM107,1.7579738,0.0025857258148011064,0.04283572852729461
TRIB1,1.657638,0.0026385236042323654,0.04364685630780312
LTC4S,1.6824529,0.002761894324121435,0.04537407920876558
TLR1,2.5637968,0.0029760919398118856,0.04842159023159266
RHBDF2,1.6096336,0.003061646005431963,0.04960084439547498
CPM,2.6032307,0.003084554682074285,0.04986550687029465
SVIP,-1.0530698,0.002876397031661106,0.04696739543376621
TAF11,-1.223312,0.0028724382290035043,0.04693642424162079
CCDC88B,-1.1042359,0.0028461730706383706,0.046574113180352684
AKT3,-1.3186717,0.00279258532508081,0.0457630145208707
FAAH2,-4.9646163,0.0027403416206248214,0.04506911558429348
FAS,-1.3520861,0.0027361336607051555,0.04503244713302296
EML3,-1.7862712,0.0026972814306077445,0.044489507190937305
CREBZF,-1.229471,0.0026073716461475923,0.04316290429789927
KDM5B,-1.7385141,0.0025821341924614385,0.04280738418704098
MFNG,-1.1895576,0.0025338957209943523,0.042068952882037526
SPTY2D1,-1.3075584,0.0024768678421341144,0.04127266897705469
TRADD,-1.1389688,0.0024217686261431867,0.040413707821313205
