UMAP_1,UMAP_2,leiden,cell_type
4.0805707,8.138971,1,Naive B cells
5.0890517,2.8365493,2,Plasma cells
7.4708095,7.459885,6,Naive B cells
8.7329645,5.4410563,0,Plasma cells
10.8407955,5.560572,0,Plasma cells
7.1320753,3.1460922,4,Plasma cells
10.357923,4.901243,0,Plasma cells
10.380246,7.0119247,0,Plasma cells
6.1826468,3.2682405,2,Plasma cells
8.972305,8.244,0,Plasma cells
0.4077043,3.9631214,5,Plasma cells
7.7486215,9.256406,6,Naive B cells
6.87858,5.315891,4,Plasma cells
9.791719,6.53116,0,Plasma cells
6.066049,1.8208961,2,Plasma cells
7.658224,7.34271,6,Naive B cells
9.293289,5.1882668,0,Plasma cells
4.063966,5.5322266,3,Plasma cells
4.9243717,6.6202435,1,Naive B cells
0.8848385,3.8726513,5,Plasma cells
4.0228367,3.3811696,3,Plasma cells
4.6788,4.8704453,3,Plasma cells
5.4681273,2.294979,2,Plasma cells
1.9070792,4.0667205,5,Plasma cells
10.262617,6.270157,0,Plasma cells
5.5704455,9.188114,1,Naive B cells
5.474215,5.221176,3,Plasma cells
9.183334,8.604752,0,Plasma cells
7.695033,9.264461,6,Naive B cells
6.2219386,2.5690265,2,Plasma cells
1.7006763,3.9139082,5,Plasma cells
1.2781887,4.561386,5,Plasma cells
3.6969864,5.800694,3,Plasma cells
1.0994166,3.6440206,5,Plasma cells
4.7205977,2.113897,2,Plasma cells
5.8694973,1.7962335,2,Plasma cells
5.943556,7.7038703,1,Naive B cells
6.856167,4.148019,4,Plasma cells
4.6924644,2.5619686,2,Plasma cells
4.8618793,8.679363,1,Naive B cells
10.164579,5.8370247,0,Plasma cells
6.603175,4.4568157,4,Plasma cells
8.729001,8.297404,0,Plasma cells
10.130661,7.3155317,0,Plasma cells
8.961939,5.5511866,0,Plasma cells
4.0320644,5.3527737,3,Plasma cells
6.998453,3.4741144,4,Plasma cells
9.101222,6.395445,0,Plasma cells
1.3726896,3.9796426,5,Plasma cells
4.4154897,6.9115853,1,Naive B cells
4.2952347,8.469413,1,Naive B cells
0.60215807,3.7244568,5,Plasma cells
3.8149536,6.413042,3,Plasma cells
8.715211,6.454799,0,Plasma cells
8.538777,3.5124443,4,Plasma cells
4.2067895,2.0135646,2,Plasma cells
10.083246,6.952718,0,Plasma cells
8.464175,7.766758,6,Naive B cells
7.7178483,4.631025,4,Plasma cells
8.16933,8.639489,6,Naive B cells
5.192904,2.2888176,2,Plasma cells
7.8588457,9.192195,6,Naive B cells
6.51196,9.090906,6,Naive B cells
8.390803,2.8714972,4,Plasma cells
8.175417,3.0504656,4,Plasma cells
4.489862,6.130068,3,Plasma cells
6.619189,7.042544,1,Naive B cells
7.2872763,8.968519,6,Naive B cells
8.415405,7.358122,0,Plasma cells
10.470391,6.3818064,0,Plasma cells
7.957515,3.3397453,4,Plasma cells
8.485545,5.917869,0,Plasma cells
6.0079365,3.0567408,2,Plasma cells
6.4605527,3.6127317,4,Plasma cells
3.6640172,3.2869697,2,Plasma cells
5.3095036,8.7808485,1,Naive B cells
7.893001,6.5775766,0,Plasma cells
5.527999,6.976306,1,Naive B cells
5.1013265,7.0225387,1,Naive B cells
7.9435725,7.6428657,0,Plasma cells
5.0399456,7.6607614,1,Naive B cells
9.190185,5.102868,0,Plasma cells
9.943529,7.346895,0,Plasma cells
7.7978525,3.6505551,4,Plasma cells
6.3295364,8.209468,1,Naive B cells
7.800723,3.8031821,4,Plasma cells
4.4926925,8.541347,1,Naive B cells
9.130616,7.4137964,0,Plasma cells
1.2283347,4.115154,5,Plasma cells
1.1870279,3.5358753,5,Plasma cells
7.6912484,5.5718403,0,Plasma cells
4.191198,6.6377006,3,Plasma cells
5.853275,8.957773,1,Naive B cells
3.8475246,4.2014623,3,Plasma cells
8.356357,3.5653675,4,Plasma cells
9.355822,6.5079093,0,Plasma cells
5.701265,2.8918185,2,Plasma cells
6.1809816,7.041885,1,Naive B cells
10.653776,5.824916,0,Plasma cells
6.662746,9.128807,6,Naive B cells
2.9104993,3.8410194,5,Plasma cells
4.5954924,9.082168,1,Naive B cells
4.6691446,5.66577,3,Plasma cells
1.0836498,3.578263,5,Plasma cells
4.104249,4.604563,3,Plasma cells
6.2396755,2.073635,2,Plasma cells
9.247439,4.970697,0,Plasma cells
5.4774528,2.5109413,2,Plasma cells
-0.21163134,3.58738,5,Plasma cells
10.722908,5.225523,0,Plasma cells
9.721077,7.1822577,0,Plasma cells
