UMAP_1,UMAP_2,cell_type
-5.709528,6.553527,Classical monocytes
13.827442,5.1395645,T cells
12.67511,4.1116805,T cells
9.961746,13.44765,T cells
-4.9712663,2.5971508,Classical monocytes
6.3431726,9.36575,T cells
8.587559,-0.4645145,Naive B cells
-5.6773515,4.9133697,Classical monocytes
0.31252673,6.5511446,Conventional dendritic cells
7.0663047,9.802081,T cells
9.681256,10.941423,T cells
14.12581,9.703113,T cells
-6.1432085,3.363489,Classical monocytes
-4.87944,5.505982,Classical monocytes
8.84032,-1.1355093,Plasma cells
13.793124,4.367262,T cells
12.842527,-0.49165255,Plasma cells
9.204213,-1.4998541,Plasma cells
7.5976033,10.641429,T cells
-5.157098,7.672293,Classical monocytes
11.826977,-0.12649453,Plasma cells
9.913332,10.538837,T cells
12.844972,7.961405,T cells
11.907493,-0.39655384,Plasma cells
12.634797,-0.9506201,Plasma cells
-7.9226427,5.4085107,Intermediate monocytes
10.693227,10.7136755,T cells
13.088474,3.456373,T cells
10.68779,0.37070334,Plasma cells
13.476158,4.693016,T cells
9.455872,11.700161,T cells
8.31938,7.1557956,T cells
11.733877,8.553627,T cells
-3.1045678,10.585302,Non-classical monocytes
7.9917736,10.787413,T cells
-4.2958198,0.9551641,Classical monocytes
-5.366744,4.427889,Classical monocytes
8.22402,10.900087,T cells
8.073293,10.2628145,T cells
-4.4040484,1.4204658,Classical monocytes
8.844819,10.682262,T cells
-5.107274,6.903532,Classical monocytes
-5.0365233,7.582064,Classical monocytes
10.577043,-1.5988746,Granulocytes
14.761081,9.3668375,T cells
12.904434,8.188822,T cells
-5.407807,3.363398,Classical monocytes
8.749191,7.2151847,T cells
-4.7054286,6.4299808,Classical monocytes
9.565785,13.329757,T cells
-3.7365792,6.1681876,Classical monocytes
-4.0939407,3.392903,Classical monocytes
8.987416,-1.8477049,Plasma cells
12.420165,3.7603388,T cells
7.66417,9.589741,T cells
9.662127,11.168605,T cells
12.830632,3.7487009,T cells
9.944855,11.254304,T cells
8.078175,-0.34874007,Plasma cells
9.032023,10.3388405,T cells
-5.433082,6.0714445,Classical monocytes
8.685598,-1.1090893,Plasma cells
-2.8617716,9.446716,Non-classical monocytes
-3.4173934,1.3487277,Classical monocytes
4.702505,3.534898,Plasmacytoid dendritic cells
7.460608,11.073572,T cells
12.507938,7.8996224,T cells
8.899301,10.116125,T cells
7.9126234,-1.523967,Plasma cells
-2.0797648,11.861717,Non-classical monocytes
13.653337,9.235741,T cells
11.485326,10.679977,T cells
10.513041,10.272974,T cells
-6.2930136,2.9223213,Classical monocytes
13.389173,5.10755,T cells
10.474054,11.134172,T cells
9.111687,-1.5543942,Naive B cells
12.813571,-0.5736529,Plasma cells
10.060018,-1.8666812,Plasma cells
9.164743,11.228897,T cells
8.360953,7.372503,T cells
7.599232,10.904619,T cells
-4.424677,1.5696515,Classical monocytes
9.003005,6.6542487,T cells
8.128794,-0.56366545,Naive B cells
13.444874,8.384196,T cells
12.256049,7.1420717,T cells
-6.307708,3.449757,Classical monocytes
11.862583,-0.5227864,Plasma cells
