UMAP_1,UMAP_2,leiden,patient_name
11.602088,2.4641738,13,p1_pre
6.056915,14.312698,17,p1_pre
2.7385392,-3.0148072,5,p1_pre
1.5750952,-5.005188,3,p1_pre
1.631981,8.225992,9,p1_pre
6.893855,5.6551647,4,p1_pre
7.2219563,4.6642475,15,p1_pre
11.801644,2.8428705,13,p1_pre
10.967806,4.7283573,13,p1_pre
6.8457074,14.526111,17,p1_pre
-0.61826587,7.737096,10,p1_pre
5.290808,6.5531726,4,p1_pre
5.5460873,7.734283,11,p1_pre
1.9624766,-4.602362,5,p1_pre
2.0361543,8.522521,9,p1_pre
3.982647,8.125797,11,p1_pre
0.73192495,10.266632,6,p1_pre
1.7543448,-3.860495,5,p1_pre
2.5664277,9.250111,9,p1_pre
5.4358892,6.973792,11,p1_pre
1.5056622,9.664292,9,p1_pre
1.636051,-5.436704,3,p1_pre
6.2180924,14.523801,17,p1_pre
2.668844,10.086034,9,p1_pre
6.8596516,5.8347225,4,p1_pre
6.774577,5.9141517,4,p1_pre
7.246183,5.841187,4,p1_pre
5.2583327,8.064267,11,p1_pre
1.0772376,9.043144,2,p1_pre
11.599812,2.707547,13,p1_pre
6.553535,6.673392,23,p1_pre
11.330157,2.8633904,13,p1_pre
5.5812964,7.706109,11,p1_pre
5.661779,7.8593564,11,p1_pre
11.15548,2.5612438,13,p1_pre
1.6851668,1.29444,22,p1_pre
2.8891697,9.870524,9,p1_pre
7.1357336,4.607648,15,p1_pre
12.598526,4.891292,13,p1_pre
6.198984,13.565141,17,p1_pre
6.073288,14.316669,17,p1_pre
5.0254183,8.219944,11,p1_pre
0.066494025,9.049335,10,p1_pre
5.241675,7.844567,11,p1_pre
7.1863904,7.3079896,23,p1_pre
5.9376335,14.534647,17,p1_pre
7.3305864,4.9291854,15,p1_pre
13.636613,3.302677,13,p1_pre
5.787417,5.62797,4,p1_pre
13.281046,3.1176674,13,p1_pre
4.120317,8.086299,11,p1_pre
3.8388567,8.24287,11,p1_pre
-3.9704266,8.862239,7,p1_pre
5.4163065,7.5600824,11,p1_pre
4.353621,5.976066,4,p1_pre
7.2815275,4.9414845,15,p1_pre
5.9939165,14.393125,17,p1_pre
3.345259,-2.473229,5,p1_pre
4.6035433,6.11644,4,p1_pre
7.162067,7.733016,23,p1_pre
6.6106186,6.1589627,4,p1_pre
6.4194045,14.257825,17,p1_pre
7.325282,5.148596,15,p1_pre
7.775005,13.654937,17,p1_pre
5.933852,14.309935,17,p1_pre
5.273708,7.923893,11,p1_pre
7.157938,7.6855927,23,p1_pre
6.1198387,13.957398,17,p1_pre
6.941849,7.2109404,23,p1_pre
11.216171,4.6798306,13,p1_pre
5.8698807,5.4966335,4,p1_pre
11.69569,2.57587,13,p1_pre
1.7500782,7.9893274,9,p1_pre
4.5307446,6.300674,4,p1_pre
5.9862585,14.734938,17,p1_pre
5.5227175,8.048931,11,p1_pre
11.471483,2.6307502,13,p1_pre
12.5039,4.859811,13,p1_pre
5.2829957,7.787082,11,p1_pre
7.842895,13.47921,17,p1_pre
11.767787,2.7263963,13,p1_pre
-4.206926,7.4464974,7,p1_pre
14.455749,2.5229204,13,p1_pre
7.6184635,5.3086085,15,p1_pre
-1.9232824,3.8599982,12,p1_pre
6.6084948,14.673182,17,p1_pre
5.9754033,5.3392625,4,p1_pre
7.9209094,13.160178,17,p1_pre
5.866225,14.473615,17,p1_pre
12.469027,4.7493753,13,p1_pre
10.863492,4.8391266,13,p1_pre
5.1133337,8.030767,11,p1_pre
7.07181,5.2143326,15,p1_pre
5.550027,8.392069,11,p1_pre
2.1839383,9.879635,9,p1_pre
6.176604,14.78695,17,p1_pre
3.0155966,-3.3935637,5,p1_pre
12.63674,4.711404,13,p1_pre
4.719448,5.9334545,4,p1_pre
4.4865365,6.0341473,4,p1_pre
5.847211,5.948352,4,p1_pre
7.126936,5.3383756,15,p1_pre
-5.350901,8.162994,8,p1_pre
4.6267147,6.5771875,4,p1_pre
2.459247,10.069535,9,p1_pre
6.9076033,5.283227,15,p1_pre
-5.1839037,10.275082,7,p1_pre
1.4345224,6.3107963,0,p1_pre
5.5376506,7.986653,11,p1_pre
3.2610776,5.9585,4,p1_pre
11.06608,2.928382,13,p1_pre
11.449477,2.9234776,13,p1_pre
5.2428775,7.937577,11,p1_pre
5.921732,5.9492474,4,p1_pre
12.783083,4.615614,13,p1_pre
1.4198993,9.194026,9,p1_pre
4.434368,6.2975435,4,p1_pre
6.9945455,14.377875,17,p1_pre
4.1954637,5.932955,4,p1_pre
11.107926,4.7362404,13,p1_pre
11.586941,2.6591086,13,p1_pre
6.7124443,14.711283,17,p1_pre
