UMAP_1,UMAP_2,leiden,cell_type
-4.831261,2.4417024,3,T cells
12.914396,5.637246,1,T cells
13.643733,5.2226677,7,T cells
10.631433,4.007171,1,T cells
10.488823,7.1869497,4,T cells
14.223642,5.629596,7,T cells
12.781017,4.554825,1,T cells
6.7574635,0.7927603,6,T cells
7.7532825,10.085296,2,T cells
11.234802,1.8178135,0,T cells
11.941613,6.5074115,1,T cells
7.8636456,8.815654,2,T cells
12.021424,6.299507,1,T cells
11.368773,7.0156775,1,T cells
10.724293,0.16972175,0,T cells
9.653937,6.5758786,4,T cells
9.469235,4.78159,4,T cells
10.432978,6.8265543,1,T cells
-4.425118,1.4038473,3,T cells
7.181456,8.550213,2,T cells
8.166879,5.893844,4,T cells
-4.0189567,2.8624864,3,T cells
6.038473,5.5567427,5,T cells
12.364603,3.7348182,1,T cells
11.960907,4.493427,1,T cells
10.86761,4.1578817,1,T cells
10.708109,0.01091747,0,T cells
5.052443,5.919409,5,T cells
5.2740474,7.591754,5,T cells
6.854577,1.3161521,6,T cells
8.087852,9.486092,2,T cells
7.165498,1.5860865,6,T cells
10.945467,1.9118912,0,T cells
11.87698,5.81413,1,T cells
-6.054002,1.9210365,3,T cells
7.5976224,5.2554264,4,T cells
12.651023,4.0379915,1,T cells
-5.4667077,2.6312957,3,T cells
8.454818,8.092881,2,T cells
9.112281,2.2692666,0,T cells
9.674252,7.362441,4,T cells
10.018584,5.268111,4,T cells
12.056488,4.962652,1,T cells
10.85595,6.755516,1,T cells
-6.4646034,2.0170143,3,T cells
4.4971004,6.2318687,5,T cells
5.1430674,6.5265765,5,T cells
-5.10462,2.7408774,3,T cells
11.200839,2.3265827,0,T cells
10.942831,4.834535,1,T cells
6.4104223,8.417071,5,T cells
9.445411,2.6930537,0,T cells
7.1000404,1.150914,6,T cells
9.011499,8.167295,2,T cells
11.236092,1.200429,0,T cells
10.488874,2.3549001,0,T cells
-6.3296523,2.1578646,3,T cells
10.427806,0.547842,0,T cells
